Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-115533,49503,Suggested DNS / Gateway Filled Out,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,29/Mar/22 4:02 PM,14/Aug/25 1:54 PM,Low,Complete,,,,,doc_impact,july-2510,,,Improvement
NAS-123691,82752,"ZFS balances vdev based on either write speed or usage, but never both",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,24/Aug/23 10:34 AM,24/Mar/25 12:30 PM,Low,Complete,,,,,priority-was-lowest,,,,Improvement
NAS-124151,84138,Test webui with updated Sentry,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Sep/23 4:59 AM,20/Mar/25 6:11 AM,Low,Complete,,,,,priority-was-lowest,queued,technical-improvement,,Improvement
NAS-125133,88011,Implement multithreaded ZFS ARC eviciton,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Nov/23 2:28 PM,20/May/25 10:27 AM,Undefined,Complete,,,,,jirabug,,,,Improvement
NAS-127704,97406,Add warning to Allowed IP Addresses,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/Mar/24 10:32 AM,15/Aug/25 10:57 AM,Low,Complete,SCALE-24.04-RC.1 (DragonFish),,,,ready_for_assignment,,,,Improvement
NAS-127775,97755,UI offers to restart web services when no changes to allowed addresses has been made,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,11/Mar/24 1:21 PM,07/Jul/25 5:20 AM,Low,Complete,,,,,,,,,Bug
NAS-129878,105594,Cleanup apt mirrors VM to free up space,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Jul/24 4:05 AM,21/May/25 6:50 PM,Undefined,Complete,,,,,EEBeta2RC,IX_EMPLOYEE,,,Improvement
NAS-130303,106799,Validation errors are not announced,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,29/Jul/24 9:55 AM,26/Jun/25 2:03 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-131416,110002,convert service management plugin to jobs,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Sep/24 7:58 AM,09/May/25 2:49 AM,Medium,Complete,SCALE-24.10.0 (ElectricEel),,,,FTalpha2beta,IX_EMPLOYEE,,,Improvement
NAS-131474,110208,MW needs to support more than 1 file for upload,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,02/Oct/24 1:35 PM,08/May/25 7:29 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-131658,110613,Add unit tests for TrueNAS CLI,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Oct/24 9:46 AM,08/Feb/25 9:21 AM,Undefined,Complete,,,,,FTalpha2beta,IX_EMPLOYEE,,,Improvement
NAS-132188,111882,Apps don’t migrate on change of pool,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,02/Nov/24 8:55 AM,05/Aug/25 7:39 AM,Medium,Complete,SCALE-24.10.0 (ElectricEel),,,,COMMUNITY_USER,doc_impact,doc_resolved,ready_for_assignment,Bug
NAS-132258,112038,"Replication task stays on ""Running"" although it has finished",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/Nov/24 9:53 AM,25/Feb/25 9:03 AM,Low,Complete,SCALE-24.10.0 (ElectricEel),,,,IX_EMPLOYEE,ready_for_assignment,,,Bug
NAS-132733,113130,Convert pool.dataset to new api style,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Nov/24 12:42 PM,12/Mar/25 10:05 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-132734,113131,Convert pool to new api style,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Nov/24 12:42 PM,25/Mar/25 10:14 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133206,114314,Convert boot to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Dec/24 10:16 AM,12/Feb/25 4:14 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133207,114316,Convert zfs.pool to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Dec/24 10:48 AM,13/Feb/25 7:26 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133448,114876,Convert mail to new api style,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Jan/25 11:46 AM,18/Feb/25 4:30 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133457,114898,Add HA checks for TNC,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Jan/25 2:47 AM,21/May/25 6:50 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133458,114899,Add ability to generate TNC certs in TN installer,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,08/Jan/25 2:48 AM,28/Apr/25 6:39 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-133533,115106,Improve validation on certificate creation,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,13/Jan/25 11:28 AM,30/Mar/25 2:13 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-133590,115270,Feature request:  Sort apps by popularity,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,15/Jan/25 3:48 PM,21/May/25 6:51 PM,Low,Complete,Master - TrueNAS SCALE,,,,IX_EMPLOYEE,jirabug,,,New Feature
