Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-136335,123088,Password managers intermittent recognition of user/pass fields in WebUI login,SCALE-25.10.0 (Goldeye),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,16/Jun/25 12:05 AM,16/Sep/25 3:55 PM,Low,Complete,SCALE-25.04.1 (Fangtooth),,,,COMMUNITY_USER,es-backlog,ready_for_assignment,,Bug
NAS-137502,125766,Error upgradeing from TrueNAS 25.04.2.4 to 25.10b,SCALE-25.10.0 (Goldeye),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Sep/25 2:53 PM,16/Sep/25 6:20 AM,Blocker,Complete,SCALE-25.04.2.4 (Fangtooth),SCALE-25.10-BETA.1 (Goldeye),,iX Private,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137095,124788,SMBD process can get stuck in loop while issuing ioctls to alternate data streams,SCALE-25.04.2.4 (Fangtooth),SCALE-25.10-RC.1 (Goldeye),,Done,11/Aug/25 6:00 AM,15/Sep/25 6:52 PM,High,Complete,SCALE-25.04.1 (Fangtooth),SCALE-25.04.2 (Fangtooth),,,COMMUNITY_USER,hf_want,ready_for_assignment,,Bug
NAS-137507,125776,Changing Update Profile on System -> Update page does not refresh page,SCALE-25.10.0 (Goldeye),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,10/Sep/25 5:20 PM,12/Sep/25 12:45 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,IX_EMPLOYEE,Other,,,Bug
NAS-137520,125801,IPMI network configuration can't be saved,SCALE-25.10.0 (Goldeye),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,11/Sep/25 3:42 PM,12/Sep/25 9:12 AM,High,Complete,SCALE-25.04.2.4 (Fangtooth),,,iX Private,IX_EMPLOYEE,,,,Bug
NAS-137315,125272,adapt UI to remote syslog API changes,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 2:24 PM,12/Sep/25 8:40 AM,High,Complete,,,,,doc_impact,IX_EMPLOYEE,release_notes_mention,tests_impact,New Feature
NAS-137395,125486,NVMeOF UI page needs to default to 4420 (see linked mw ticket),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 10:48 AM,12/Sep/25 8:22 AM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,doc_impact,IX_EMPLOYEE,tests_impact,,Improvement
NAS-137397,125495,Secure boot is only a create time attribute for VMs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,02/Sep/25 12:40 PM,12/Sep/25 8:20 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-137505,125774,Fix error when handling PAM failures,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,10/Sep/25 3:53 PM,12/Sep/25 8:16 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137443,125611,Remove legacy Users page and rename new one,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,05/Sep/25 8:51 AM,12/Sep/25 8:08 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,doc_impact,IX_EMPLOYEE,,,Defect
