Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Security Level,Labels,Labels,Labels
Bug,NAS-137861,126534,Cant' edit/resize VM Zvol,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,03/Oct/25 4:21 AM,21/Oct/25 12:23 PM,High,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_review,
Defect,NAS-138057,127032,Allow easier debugging of kerberos and winbind errors,SCALE-25.04.2.5 (Fangtooth),SCALE-25.10.0 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,15/Oct/25 12:56 PM,21/Oct/25 11:03 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,IX_EMPLOYEE,,
Defect,NAS-137844,126507,fix USB disk detection alert on HA,SCALE-25.04.2.5 (Fangtooth),SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Oct/25 11:24 AM,21/Oct/25 11:03 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,hf_want,IX_EMPLOYEE,
Bug,NAS-137814,126436,Console Messages,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,30/Sep/25 3:48 PM,20/Oct/25 3:31 PM,Medium,Complete,SCALE-25.10.0 (Goldeye),,ready_for_assignment,,
Bug,NAS-138102,127147,NVMe-oF failed to connect socket,N/A,SCALE-25.10.0 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,17/Oct/25 2:54 PM,17/Oct/25 5:50 PM,Undefined,Complete,Master - TrueNAS Nightlies,,COMMUNITY_USER,,
Bug,NAS-137922,126673,Cloud Sync task does not accept valid bandwidth limit,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,06/Oct/25 10:53 PM,14/Oct/25 3:23 PM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138034,126946,“Failed to load datasets” on Datasets page after update,SCALE-25.10.0 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Oct/25 3:07 AM,14/Oct/25 9:18 AM,Blocker,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_review,
Bug,NAS-137805,126423,Apps -  Traceback on upgrade,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,30/Sep/25 1:25 PM,13/Oct/25 12:16 AM,Blocker,Complete,SCALE-25.10-RC.1 (Goldeye),,IX_EMPLOYEE,ready_for_assignment,
Bug,NAS-137940,126699,Apps Schema Validation issue,SCALE-25.10.0 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Oct/25 2:51 PM,13/Oct/25 12:15 AM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,IX_EMPLOYEE,,
Defect,NAS-137792,126402,Fix 'kfd_device_exists' logic for non-NVIDIA gpu,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,30/Sep/25 9:00 AM,08/Oct/25 7:38 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,IX_EMPLOYEE,,
Bug,NAS-137813,126435,Transfer speed limit can not be removed from SSH replication,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,30/Sep/25 3:33 PM,07/Oct/25 11:31 AM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-137913,126654,Fix `filesystem.file_tail_follow` subscription requests,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,06/Oct/25 2:07 PM,07/Oct/25 11:20 AM,Medium,Complete,,,IX_EMPLOYEE,,
Bug,NAS-137836,126490,"Exporting VMs doesn't work Error ""type""",SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,02/Oct/25 1:08 AM,06/Oct/25 3:44 PM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-137818,126445,Various internal calls related to ZFS properties may fail if dataset is in inconsistent state due to ongoing replication (for example `casesensitivity`),SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,01/Oct/25 2:00 AM,06/Oct/25 8:27 AM,Blocker,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,ready_for_review,release_notes_mention
Bug,NAS-137472,125700,Receiving email with subject “CronTask Run”,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,08/Sep/25 12:56 PM,30/Sep/25 8:22 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-137724,126199,"""RuntimeError: Connection closed."" during app image update search (app.image.op.check_update)",SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,25/Sep/25 9:19 AM,25/Sep/25 10:44 AM,High,Complete,SCALE-25.04.2.4 (Fangtooth),,COMMUNITY_USER,,
Improvement,NAS-137468,125695,network.configuration.config API missing on Goldeye API ,SCALE-25.10.0 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,08/Sep/25 11:43 AM,22/Sep/25 9:44 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,IX_EMPLOYEE,,
