Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Bug,NAS-138518,129083,Null disk in smart test,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,12/Nov/25 8:44 AM,08/Dec/25 12:20 PM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138629,130500,"Attempt to Edit Dataset Properties throws error ""aclmode: failed to get property: .""",SCALE-25.10.1 (Goldeye),,,Done,20/Nov/25 1:18 PM,08/Dec/25 8:50 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_review,release_notes_mention
Defect,NAS-138644,130619,Update samba to 4.22.6,SCALE-25.10.1 (Goldeye),,,Done,21/Nov/25 10:27 AM,05/Dec/25 12:30 PM,High,Complete,,,,IX_EMPLOYEE,release_notes_mention,
Defect,NAS-138645,130653,Add UI support for SMB FCP_SHARE purpose,SCALE-25.10.1 (Goldeye),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,21/Nov/25 12:30 PM,05/Dec/25 10:37 AM,Medium,Complete,SCALE-25.10.1 (Goldeye),,,doc_impact,IX_EMPLOYEE,
Bug,NAS-138402,128405,"Create new Share Purpose template for Apple M&E products (eg: Final Cut Pro, LogicPro)",SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,05/Nov/25 11:10 AM,05/Dec/25 10:37 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,doc_impact,IX_EMPLOYEE,ready_for_assignment
Bug,NAS-138527,129167,"Accessibility improvement - for the ""..."" (more) button as it has no aria label for screen readers",SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,12/Nov/25 3:29 PM,05/Dec/25 7:09 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138451,128568,Apps - Can't use /dev/null as host path anymore,N/A,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,07/Nov/25 12:02 PM,03/Dec/25 7:23 AM,Undefined,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-138066,127056,Apps reporting MB/s instead of Mb/s (previous bug report NAS-137428),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,15/Oct/25 4:49 PM,01/Dec/25 4:21 PM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138334,128222,rsync task: UnboundLocalError: cannot access local variable 'known_hosts' where it is not associated with a value,SCALE-25.10.1 (Goldeye),,,Done,02/Nov/25 11:25 AM,01/Dec/25 12:57 PM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-137898,126615,Secure Boot toggle in 25.10-RC.1 VM doesn't use OVMF with enrolled keys,SCALE-25.10.1 (Goldeye),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,05/Oct/25 1:03 PM,01/Dec/25 5:51 AM,Low,Complete,SCALE-25.10-RC.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Improvement,NAS-138689,131183,Branch out apt mirrors for 25.10.1,SCALE-25.10.1 (Goldeye),,,Done,25/Nov/25 11:47 AM,01/Dec/25 2:27 AM,Undefined,Complete,,,,IX_EMPLOYEE,,
Bug,NAS-138640,130581,GoldenEye 25.10 only allows 1 Hot Spare through GUI,SCALE-25.10.1 (Goldeye),SCALE-25.10.2 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,21/Nov/25 12:56 AM,26/Nov/25 1:21 PM,High,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138307,128134,Remove SSH and Shell access from User,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Nov/25 6:31 AM,26/Nov/25 7:52 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138486,128864,Auto Dataset Creation tooltip is misleading on Time Machine Share,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,10/Nov/25 12:58 PM,26/Nov/25 7:52 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,mt_reviewed,ready_for_assignment
Bug,NAS-138586,129891,"Wrong time format in ""Last App Update""",N/A,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,17/Nov/25 2:04 PM,26/Nov/25 7:51 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138606,130199,Audit search layout is broken,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,19/Nov/25 6:42 AM,26/Nov/25 7:51 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,
Bug,NAS-138619,130452,Auto Dataset Creation on Time Machine Share -> Dataset Naming Schema should allow null value,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Nov/25 3:43 AM,26/Nov/25 7:51 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,
Bug,NAS-138426,128482,Fix Master Tests,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,06/Nov/25 10:52 AM,25/Nov/25 8:58 AM,Medium,Complete,,,,IX_EMPLOYEE,mt_reviewed,
Bug,NAS-138502,128987,[API] Uploading VM Image File in /mnt,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Nov/25 8:33 AM,24/Nov/25 12:11 PM,Medium,Complete,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Debug_Linked,,
Bug,NAS-138433,128495,SNMP does not return hdd temp,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,06/Nov/25 2:57 PM,22/Nov/25 11:00 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138330,128180,"Error "" 2077 is not a valid Error"" when performing ""Extend"" or ""Replace""",SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Nov/25 11:03 PM,20/Nov/25 6:10 AM,Low,Complete,SCALE-25.04.2.6 (Fangtooth),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138227,127704,truenas connect icon in status bar does nto work with themes,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,28/Oct/25 12:22 PM,19/Nov/25 6:00 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138278,128033,[UI] Uploading VM Image File in /mnt,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,30/Oct/25 6:26 PM,19/Nov/25 4:52 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138316,128164,Apps search not working on new system,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Nov/25 7:46 PM,19/Nov/25 4:52 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138331,128181,"Wrong default columns in ""Disks""",SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Nov/25 1:47 AM,19/Nov/25 4:49 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138165,127374,Windows 11 VM – TPM data not persistent across reboots (PIN resets after every restart),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,22/Oct/25 1:05 PM,15/Nov/25 9:20 AM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138270,128015,email fails to send after upgrade to Goldeneye,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,30/Oct/25 2:17 PM,05/Nov/25 11:49 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138202,127572,got error -1 on backup job to another truenas system,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Oct/25 3:33 AM,05/Nov/25 7:55 AM,Medium,Complete,SCALE-25.04.2.4 (Fangtooth),,,COMMUNITY_USER,ready_for_assignment,
Improvement,NAS-138087,127114,Include link to TNC docs on TNC modal,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,16/Oct/25 2:55 PM,04/Nov/25 3:51 PM,Medium,Complete,,,,IX_EMPLOYEE,ready_for_assignment,
