Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Defect,NAS-142112,159627,Fix nfsd client teardown hang from leaked callback count,SCALE-25.10.6 (Goldeye),,,,Done,07/Aug/26 1:26 PM,11/Aug/26 2:28 PM,High,Complete,Master - TrueNAS SCALE,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-142057,159556,Allow ALUA toggle when standby is unreachable,26.0.0-RC.1,27.0.0-BETA.1,27.0.0-RC.1,SCALE-25.10.6 (Goldeye),Done,04/Aug/26 9:06 AM,11/Aug/26 2:27 PM,High,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-142018,159506,qla2x00t-32gbit: Fail target enable if qlt_lport_register() fails,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,30/Jul/26 3:02 PM,11/Aug/26 2:26 PM,Blocker,Complete,SCALE-25.10.5 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-142014,159502,qla2x00t-32gbit: NULL-check ha->tgt.tgt_ops in IRQ-reachable paths,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,30/Jul/26 12:16 PM,11/Aug/26 2:26 PM,Blocker,Complete,Master - TrueNAS SCALE,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-141988,159468,Move remote disk retaste call in failover event,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,28/Jul/26 1:19 PM,11/Aug/26 2:24 PM,High,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-140406,151797,Ensure remote disk.retaste during vrrp_master is quick,26.0.0-BETA.1,26.0.0-BETA.2,SCALE-25.10.6 (Goldeye),,Done,24/Mar/26 3:52 PM,11/Aug/26 2:23 PM,High,Complete,Master - TrueNAS SCALE,,,IX_EMPLOYEE,,
Defect,NAS-139610,139638,Fix pam parsing,26.0.0-BETA.1,SCALE-25.10.6 (Goldeye),,,Done,03/Feb/26 11:49 AM,11/Aug/26 2:22 PM,Medium,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,
Defect,NAS-142008,159493,Bump nvidia to 580.173.02 (LTSB),SCALE-25.10.6 (Goldeye),,,,Done,29/Jul/26 6:11 PM,11/Aug/26 2:20 PM,High,Complete,SCALE-25.10.6 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-138641,130614,Directory Services Configuration - Save button greyed out,SCALE-25.10.6 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,21/Nov/25 8:59 AM,04/Aug/26 11:42 AM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,COMMUNITY_USER,hf_want,ready_for_assignment
Bug,NAS-142045,159541,Several bugs in DDT pruning,SCALE-25.10.6 (Goldeye),,,,Done,03/Aug/26 10:03 AM,03/Aug/26 12:44 PM,Undefined,Complete,SCALE-25.10.4 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140652,156095,False ‘failed a SMART selftest’ alerts after upgrading from ElectricEel to Goldeye,26.0.0-BETA.2,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),,Done,11/Apr/26 1:27 PM,29/Jul/26 11:29 AM,High,Complete,SCALE-25.10.2.1 (Goldeye),SCALE-25.10.5 (Goldeye),,COMMUNITY_USER,hf_want,mt_reviewed
Bug,NAS-141951,159384,"After updating to version 25.10.5, I see these errors in /var/log/middlewared.log",26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,25/Jul/26 8:59 PM,28/Jul/26 2:31 PM,High,Complete,SCALE-25.10.5 (Goldeye),,,COMMUNITY_USER,hf_want,
