Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels
Bug,NAS-142610,160410,Snapshot lifetime UI accepts -1 and 0,26.0.0-RC.1,27.0.0-BETA.1,N/A,SCALE-25.10.7 (Goldeye),Done,26/Aug/26 1:19 PM,31/Aug/26 3:36 PM,Low,Complete,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),,IX_EMPLOYEE,triage_skipped
Defect,NAS-142560,160349,nfsd: don't modify a session slot when replaying its cached reply,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,25/Aug/26 11:14 AM,31/Aug/26 3:35 PM,High,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142538,160314,Update ZFS 2.3 to zfs-2.3.9,SCALE-25.10.7 (Goldeye),,,,Done,24/Aug/26 4:52 PM,31/Aug/26 3:35 PM,High,Complete,Master - TrueNAS SCALE,SCALE-25.04.2.6 (Fangtooth),,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142303,159959,Set unicast_src_ip for VRRP instances so IPv6 adverts are received,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,20/Aug/26 2:34 PM,31/Aug/26 3:34 PM,High,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142264,159908,scst do not hold a list cursor across the scst_acg_del_lun mutex drop,26.0.0-RC.1,SCALE-25.10.7 (Goldeye),,,Done,19/Aug/26 12:40 PM,31/Aug/26 3:34 PM,High,Complete,Master - TrueNAS SCALE,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142258,159898,scst keep the old acg installed during session reassignment,26.0.0-RC.1,SCALE-25.10.7 (Goldeye),,,Done,19/Aug/26 7:23 AM,31/Aug/26 3:34 PM,High,Complete,Master - TrueNAS SCALE,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142234,159859,Use `configparser` to generate rclone configs,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,17/Aug/26 2:34 PM,31/Aug/26 3:33 PM,Medium,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142228,159853,sunrpc: treat empty auth.unix.gid replies as negative entries,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,17/Aug/26 12:43 PM,31/Aug/26 3:33 PM,High,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142227,159852,Drop kernel address refresh re-announcements in netlink monitor,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,17/Aug/26 12:25 PM,31/Aug/26 3:33 PM,Medium,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142161,159741,isert-scst fix NULL deref in isert_pdu_err on connection teardown,26.0.0-RC.1,SCALE-25.10.7 (Goldeye),,,Done,13/Aug/26 9:49 AM,31/Aug/26 3:32 PM,High,Complete,26.0.0-BETA.3,Master - TrueNAS SCALE,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142153,159724,Update zfs-2.3 to upstream 2.3.8,SCALE-25.10.7 (Goldeye),,,,Done,12/Aug/26 3:32 PM,31/Aug/26 3:29 PM,High,Complete,Master - TrueNAS SCALE,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142152,159723,Tolerate transient NTB blips before calling dlm.reset_active,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,12/Aug/26 2:28 PM,31/Aug/26 3:29 PM,High,Complete,27.0.0-BETA.1,,,,IX_EMPLOYEE,triage_skipped
Defect,NAS-142126,159664,Make target unregistration safe against queued sysfs works,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,10/Aug/26 9:43 AM,31/Aug/26 3:28 PM,High,Complete,Master - TrueNAS SCALE,,,,IX_EMPLOYEE,triage_skipped
Improvement,NAS-142916,160810,Fix broken CI,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.7 (Goldeye),,Done,31/Aug/26 6:35 AM,31/Aug/26 8:49 AM,High,Complete,,,,,IX_EMPLOYEE,triage_skipped
Bug,NAS-140259,149435,SNMP alerts broken,26.0.0-BETA.1,26.0.0-BETA.2,SCALE-25.10.7 (Goldeye),,Done,12/Mar/26 10:06 AM,25/Aug/26 12:36 PM,High,Complete,26.0.0-BETA.1,SCALE-25.10.5 (Goldeye),,,IX_EMPLOYEE,
Bug,NAS-142197,159803,"reporting.get_data serialization failure — aggregations field is None but schema requires Aggregations model (ReportingGetDataResult, API v25_10_5)",SCALE-25.10.7 (Goldeye),,,,Done,16/Aug/26 8:51 AM,24/Aug/26 10:44 AM,Medium,Complete,SCALE-25.10.6 (Goldeye),,,,COMMUNITY_USER,
Bug,NAS-142192,159798,"Image update sweep aborts on a non-CallError, leaving stale update flags",N/A,SCALE-25.10.7 (Goldeye),,,Done,16/Aug/26 3:17 AM,22/Aug/26 5:35 PM,Medium,Complete,SCALE-25.10.6 (Goldeye),,,,COMMUNITY_USER,
