Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
Improvement,NAS-139990,145696,Make File Ticket and Save Debug items look like buttons on UI,26.0.0-BETA.1,,Done,25/Feb/26 3:27 PM,02/Apr/26 8:24 AM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-140389,151219,Failed to load datasets,26.0.0-BETA.1,26.0.0-BETA.2,Done,20/Mar/26 3:39 PM,01/Apr/26 9:12 AM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,mt_reviewed,ready_for_assignment,,
Bug,NAS-139925,144558,Opened side panels don't scroll in mobile browsers,26.0.0-BETA.1,,Done,21/Feb/26 1:40 AM,27/Mar/26 2:39 PM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-135490,120571,Application Info Widget Should Display App Version,26.0.0-BETA.1,,Done,22/Apr/25 10:55 AM,26/Mar/26 3:27 PM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,es-2510,IX_EMPLOYEE,july-2510,ready_for_assignment,
Bug,NAS-139998,145901,Dialogs does not do well with hints and show them below the modal popup,26.0.0-BETA.1,26.0.0-BETA.2,Done,26/Feb/26 9:12 AM,24/Mar/26 5:52 AM,Low,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-140344,150563,pool.get_disks returning virtual DRAID devices,26.0.0-BETA.1,26.0.0-BETA.2,Done,18/Mar/26 9:43 AM,18/Mar/26 3:20 PM,Blocker,Complete,,,,,,,,
Defect,NAS-140345,150564,Fix some log spam on first boot - PAM stack failed to allocate session UUID.,26.0.0-BETA.1,26.0.0-BETA.2,Done,18/Mar/26 9:48 AM,18/Mar/26 12:20 PM,High,Complete,26.0.0-BETA.1,,,,,,,
Bug,NAS-140259,149435,SNMP alerts broken,26.0.0-BETA.1,26.0.0-BETA.2,Done,12/Mar/26 10:06 AM,13/Mar/26 7:43 AM,Undefined,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,,,
Improvement,NAS-139817,143260,L2ARC: Extended headroom for metadata persistent markers,26.0.0-BETA.1,26.0.0-BETA.2,Done,16/Feb/26 8:22 AM,10/Mar/26 3:49 PM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-133831,115984,L2ARC write improvements,26.0.0-BETA.1,26.0.0-BETA.2,Done,27/Jan/25 1:58 PM,10/Mar/26 2:57 PM,Low,Complete,SCALE-25.04-ALPHA.1 (Fangtooth),,,2604alpha2beta,IX_EMPLOYEE,jirabug,,
Bug,NAS-139834,143412,App update notifications,26.0.0-BETA.1,,Done,17/Feb/26 12:17 AM,08/Mar/26 6:30 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-140055,146772,change rwd to listen on 127.0.0.1 and a static port,26.0.0-BETA.1,,Done,02/Mar/26 12:29 PM,05/Mar/26 12:59 PM,High,Complete,,,,IX_EMPLOYEE,mt_reviewed,,,
Improvement,NAS-137252,125123,Allow MPIO for Fibre Channel,26.0.0-BETA.1,,Done,21/Aug/25 10:47 AM,02/Mar/26 3:47 PM,High,Complete,SCALE-25.04.3 (Fangtooth),,,2604alpha2beta,doc_impact,IX_EMPLOYEE,mt_reviewed,tests_impact
New Feature,NAS-138700,131490,Expose GPU device for LXC containers in UI,26.0.0-BETA.1,,Done,26/Nov/25 11:44 AM,02/Mar/26 3:46 PM,High,Complete,,,,IX_EMPLOYEE,mt_reviewed,,,
Bug,NAS-139038,134907,"ix-netif boot delay ~120s (interface.sync timeout) + dhcpcd logs ""unknown option: master"" on VLAN DHCP (26.04.0-MASTER-20251219-075007)",26.0.0-BETA.1,,Done,20/Dec/25 12:12 PM,02/Mar/26 3:45 PM,High,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,mt_reviewed,ready_for_assignment,,
Improvement,NAS-139230,135996,Add BRT support to zpool prefetch command,26.0.0-BETA.1,,Done,08/Jan/26 1:48 PM,02/Mar/26 3:39 PM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,IX_EMPLOYEE,mt_reviewed,ready_for_assignment,,
