Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Security Level,Labels,Labels,Labels,Labels
Bug,NAS-140691,156934,LXC fails to start,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,16/Apr/26 2:27 AM,27/May/26 2:58 PM,Medium,Complete,26.0.0-BETA.1,,COMMUNITY_USER,doc_impact,doc_resolved,
Improvement,NAS-140329,150376,Expose FEC mode interface setting on enterprise systems,26.0.0-BETA.2,,,,Done,17/Mar/26 11:31 AM,27/May/26 2:56 PM,Medium,Complete,,,doc_impact,doc_resolved,IX_EMPLOYEE,
Bug,NAS-140652,156095,False ‘failed a SMART selftest’ alerts after upgrading from ElectricEel to Goldeye,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,11/Apr/26 1:27 PM,20/May/26 4:37 PM,High,Complete,SCALE-25.10.2.1 (Goldeye),,COMMUNITY_USER,hf_want,mt_reviewed,
Bug,NAS-140766,157182,Container 'Map User And Group IDs' not working,26.0.0-BETA.2,26.0.0-RC.1,27.0.0-BETA.1,,Done,23/Apr/26 12:46 PM,20/May/26 2:22 PM,Blocker,Complete,26.0.0-BETA.1,,COMMUNITY_USER,mt_reviewed,release_notes_mention,
Bug,NAS-139007,134791,"Certain system states should be made very obvious in the UI, such as ""resilvering""",26.0.0-BETA.2,27.0.0-BETA.1,,,Done,18/Dec/25 3:05 PM,20/May/26 12:35 PM,High,Complete,SCALE-25.10.0.1 (Goldeye),,IX_EMPLOYEE,mt_reviewed,,
Improvement,NAS-140748,157149,disk_resize: NVMe namespace delete can timeout on drives with written data,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,21/Apr/26 3:47 PM,17/May/26 11:55 PM,High,Complete,,,IX_EMPLOYEE,mt_reviewed,,
Bug,NAS-141078,157845,Truesearch spotlight search causing NFS timeout issues,26.0.0-BETA.2,26.0.0-RC.1,27.0.0-BETA.1,N/A,Done,16/May/26 6:19 PM,17/May/26 6:02 PM,Medium,Complete,26.0.0-BETA.1,,COMMUNITY_USER,,,
New Feature,NAS-140762,157174,Use new license API,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,23/Apr/26 8:42 AM,14/May/26 3:54 PM,Blocker,Complete,,,IX_EMPLOYEE,mt_reviewed,triage_skipped,
Improvement,NAS-139477,138188,Add FEC to interface options,26.0.0-BETA.2,,,,Done,26/Jan/26 1:20 PM,14/May/26 11:04 AM,High,Complete,,,IX_EMPLOYEE,mt_reviewed,ready_for_review,
Improvement,NAS-140478,153255,Investigate targeted export cache flush for snapshot unmounts,26.0.0-BETA.2,,,,Done,30/Mar/26 10:12 PM,14/May/26 8:25 AM,Low,Complete,,,IX_EMPLOYEE,,,
Bug,NAS-140952,157532,TrueSearch from macOS Spotlight isn't working,26.0.0-BETA.2,26.0.0-RC.1,27.0.0-BETA.1,,Done,10/May/26 10:10 AM,13/May/26 3:03 PM,Medium,Complete,Master - TrueNAS Nightlies,,COMMUNITY_USER,,,
Bug,NAS-140932,157500,WebShare doesn't enable/disable truesearch support on SIGHUP,26.0.0-BETA.2,26.0.0-RC.1,27.0.0-BETA.1,,Done,07/May/26 10:18 AM,07/May/26 10:40 AM,Low,Complete,26.0.0-BETA.1,,IX_EMPLOYEE,triage_skipped,,
Improvement,NAS-140723,157101,Dashboard widget trims letter's underside,26.0.0-BETA.2,27.0.0-BETA.1,N/A,,Done,18/Apr/26 7:14 AM,05/May/26 11:12 AM,Undefined,Complete,SCALE-25.10.3.1 (Goldeye),,IX_EMPLOYEE,,,
Bug,NAS-139949,144995,CloudSync tooltip for Fast List uses MD instead of HTML,26.0.0-BETA.2,,,,Done,23/Feb/26 2:51 PM,05/May/26 11:12 AM,Low,Complete,,,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-140637,155719,Broken storage usage estimate in snapshot page,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,09/Apr/26 4:09 PM,05/May/26 11:12 AM,Medium,Complete,26.0.0-BETA.1,,COMMUNITY_USER,,,
Bug,NAS-140266,149507,Middleware not updating nvmet,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,12/Mar/26 1:43 PM,05/May/26 9:41 AM,Low,Complete,SCALE-25.10.2 (Goldeye),,COMMUNITY_USER,ready_for_review,,
Bug,NAS-140792,157226,Unable to Clone VM on 26.0.0-Beta.1,26.0.0-BETA.2,,,,Done,24/Apr/26 7:33 PM,03/May/26 5:01 PM,Medium,Complete,26.0.0-BETA.1,,COMMUNITY_USER,,,
Bug,NAS-140626,155639,XML error: Duplicate USB controllers with index 1 when VM contains 2 or more USB devices,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,09/Apr/26 11:19 AM,27/Apr/26 5:51 AM,Medium,Complete,26.0.0-BETA.1,,COMMUNITY_USER,,,
Improvement,NAS-140553,154606,Apps - Introduce new `x-` attribute in the compose file for action-required,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,06/Apr/26 9:45 AM,26/Apr/26 7:18 PM,Medium,Complete,,,IX_EMPLOYEE,,,
Bug,NAS-140749,157150,Spotlight search error,26.0.0-BETA.2,,,,Done,21/Apr/26 5:25 PM,23/Apr/26 4:02 PM,High,Complete,26.0.0-BETA.1,,COMMUNITY_USER,mt_reviewed,,
Improvement,NAS-140521,154068,Investigate possible improvement to zfsctl_snadir_vget,26.0.0-BETA.2,N/A,,,Done,02/Apr/26 1:17 PM,20/Apr/26 12:28 PM,Low,Complete,,,IX_EMPLOYEE,,,
Bug,NAS-140621,155630,"Disconnect a pool, container names stay but containers are gone",26.0.0-BETA.2,27.0.0-BETA.1,,,Done,09/Apr/26 11:04 AM,20/Apr/26 11:32 AM,Low,Complete,26.0.0-BETA.1,,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-139966,145305,Widgets not working on Truenas Scale 25.10.2,26.0.0-BETA.2,Backlog,,,Done,24/Feb/26 12:42 PM,20/Apr/26 8:19 AM,Low,Complete,SCALE-25.10.2 (Goldeye),,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-139955,145162,Cannot edit user that is a member of docker group,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,24/Feb/26 2:21 AM,16/Apr/26 8:52 AM,Low,Complete,SCALE-25.10.2 (Goldeye),,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-140692,156936,TrueNAS 26 is missing `en_US.UTF-8` locale,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,16/Apr/26 3:42 AM,16/Apr/26 8:45 AM,Low,Complete,26.0.0-BETA.1,,COMMUNITY_USER,,,
Bug,NAS-140306,149931,Unable to save E-Mail options with GMail OAuth,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,16/Mar/26 6:01 AM,13/Apr/26 8:28 AM,Medium,Complete,,,IX_EMPLOYEE,release_notes_mention,,
Bug,NAS-140293,149845,Encryption dialog cannot save when validation error for hidden field,26.0.0-BETA.2,,,,Done,14/Mar/26 4:08 PM,13/Apr/26 8:27 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-140501,153752,Sorting Virtual Machines/Running,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,01/Apr/26 2:18 PM,13/Apr/26 8:21 AM,Low,Complete,SCALE-25.10.2.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-139412,137477,Investigate storing reboot reasons for local node,26.0.0-BETA.2,27.0.0-BETA.1,,,Done,21/Jan/26 10:43 AM,13/Apr/26 7:57 AM,Medium,Complete,,,IX_EMPLOYEE,ready_for_assignment,,
Improvement,NAS-136707,124041,fix test_pool_dataset_unlock_smb[False],26.0.0-BETA.2,27.0.0-BETA.1,,,Done,15/Jul/25 9:32 AM,09/Apr/26 5:27 AM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,2604alpha2beta,IX_EMPLOYEE,,
Bug,NAS-140587,155071,posix_fadvise(POSIX_FADV_SEQUENTIAL) causing OOM,26.0.0-BETA.2,,,,Done,07/Apr/26 12:12 PM,07/Apr/26 8:08 PM,Medium,Complete,26.0.0-BETA.1,,IX_EMPLOYEE,,,
Bug,NAS-140446,152854,I can't add ISOs to VMs through the creation wizzard neither manually after adding CDROM,26.0.0-BETA.2,,,,Done,28/Mar/26 4:35 AM,07/Apr/26 1:11 PM,Medium,Complete,SCALE-25.10.2.1 (Goldeye),,COMMUNITY_USER,ready_for_assignment,,
Improvement,NAS-140368,150968,Research replacing pysnmp for SNMP trap sending,26.0.0-BETA.2,N/A,,,Done,19/Mar/26 2:14 PM,03/Apr/26 4:18 PM,Undefined,Complete,,,IX_EMPLOYEE,,,
Bug,NAS-140185,148328,"TrueNAS26: hostname of container is always LXCNAME, should be Container name",26.0.0-BETA.2,,,,Done,07/Mar/26 5:04 AM,02/Apr/26 7:50 AM,Low,Complete,Master - TrueNAS Nightlies,,COMMUNITY_USER,ready_for_assignment,,
Defect,NAS-140347,150566,Fix some public methods being considered private,26.0.0-BETA.2,,,,Done,18/Mar/26 10:08 AM,02/Apr/26 7:26 AM,Low,Complete,,,,,,
Bug,NAS-140497,153684,"Resizing NVMe, keep original list of attached controllers",26.0.0-BETA.2,,,,Done,01/Apr/26 12:08 PM,01/Apr/26 1:34 PM,Medium,Complete,,,IX_EMPLOYEE,,,
