Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels
Defect,NAS-142018,159506,qla2x00t-32gbit: Fail target enable if qlt_lport_register() fails,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,30/Jul/26 3:02 PM,11/Aug/26 2:26 PM,Blocker,Complete,SCALE-25.10.5 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-142014,159502,qla2x00t-32gbit: NULL-check ha->tgt.tgt_ops in IRQ-reachable paths,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,30/Jul/26 12:16 PM,11/Aug/26 2:26 PM,Blocker,Complete,Master - TrueNAS SCALE,,,IX_EMPLOYEE,triage_skipped,
Defect,NAS-141988,159468,Move remote disk retaste call in failover event,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,28/Jul/26 1:19 PM,11/Aug/26 2:24 PM,High,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141948,159378,Cloud backup killing middlewared event loop,26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,,Done,25/Jul/26 8:21 AM,02/Aug/26 5:44 AM,High,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141949,159380,"Audit log ""time"" field for svc=SYSTEM events is wrong (ignores system timezone, fixed ~7h offset)",26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,,Done,25/Jul/26 11:54 AM,29/Jul/26 2:47 PM,Medium,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141951,159384,"After updating to version 25.10.5, I see these errors in /var/log/middlewared.log",26.0.0-BETA.3,26.0.0-RC.1,27.0.0-BETA.1,SCALE-25.10.6 (Goldeye),Done,25/Jul/26 8:59 PM,28/Jul/26 2:31 PM,High,Complete,SCALE-25.10.5 (Goldeye),,,COMMUNITY_USER,hf_want,
Bug,NAS-141215,158118,Middleware: Faulty parsing of smartctl output,26.0.0-BETA.3,27.0.0-BETA.1,SCALE-25.10.5 (Goldeye),,Done,31/May/26 5:46 AM,28/Jul/26 11:49 AM,High,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,hf_want,
Bug,NAS-141461,158532,SMB share is unavailable because it uses a locked dataset.,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,18/Jun/26 3:29 PM,18/Jul/26 8:10 AM,Low,Complete,26.0.0-BETA.2,,,COMMUNITY_USER,,
Bug,NAS-140791,157224,Unable to modify Device Order in VM's using 26.0.0-BETA.1,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,24/Apr/26 7:14 PM,10/Jul/26 6:10 AM,Medium,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141286,158251,“Save” button is misnamed on “unlock datasets” page; it does not save,26.0.0-BETA.3,27.0.0-BETA.1,N/A,,Done,06/Jun/26 11:05 PM,10/Jul/26 6:08 AM,Low,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141677,158947,Replication fixes,26.0.0-BETA.3,SCALE-25.10.5 (Goldeye),,,Done,06/Jul/26 8:54 AM,10/Jul/26 4:23 AM,High,Complete,,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141149,158006,Custom App updates not working for authenticated Docker Registries,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,24/May/26 8:55 AM,09/Jul/26 1:26 PM,Medium,Complete,SCALE-25.10.3.1 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141468,158542,No IPv6 connectivity in LXC after clean install of 26.0.0-BETA.2 (IPv6 forwarding disabled on host),26.0.0-BETA.3,27.0.0-BETA.1,,,Done,18/Jun/26 8:30 PM,06/Jul/26 11:33 AM,Low,Complete,26.0.0-BETA.2,,,COMMUNITY_USER,,
Bug,NAS-141578,158726,"CPU Temp widget reads systematically high vs coretemp; error scales with load (per-core bars correct, only aggregate wrong) — i5-12400",26.0.0-BETA.3,N/A,,,Done,28/Jun/26 9:02 PM,06/Jul/26 11:33 AM,Low,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,,
Defect,NAS-141592,158759,Convert audit parser script to use upstream library,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,29/Jun/26 2:42 PM,06/Jul/26 8:41 AM,Medium,Complete,27.0.0-BETA.1,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140878,157360,Upgraded to v26 and full replication failed to BOTH my backup sites,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,01/May/26 1:57 PM,06/Jul/26 8:08 AM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-141491,158570,VDEV description cosmetic bug,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,19/Jun/26 6:26 AM,02/Jul/26 3:40 AM,Low,Complete,26.0.0-BETA.2,,,COMMUNITY_USER,,
Bug,NAS-141553,158677,App Docker Registries does not support private Docker registries with htpasswd auth method,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,25/Jun/26 9:34 AM,01/Jul/26 11:54 AM,Medium,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,,
Bug,NAS-141469,158544,"v26 beta upgrade does not preserve working Active Directory member state, requiring a manual rejoin",26.0.0-BETA.3,27.0.0-BETA.1,Backlog,,Done,18/Jun/26 9:00 PM,30/Jun/26 3:53 PM,Low,Complete,26.0.0-BETA.2,,,COMMUNITY_USER,,
Bug,NAS-141604,158788,Fix Audio File searching by metadata and tags,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,30/Jun/26 11:10 AM,30/Jun/26 3:05 PM,Undefined,Complete,26.0.0-BETA.2,,,IX_EMPLOYEE,triage_skipped,
Bug,NAS-140548,154436,nsupdate sends IPv4 and IPv6 PTR records in single transaction causing NOTZONE failure on AD domain join,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/Apr/26 6:21 PM,30/Jun/26 2:35 PM,Low,Complete,SCALE-25.10.2.1 (Goldeye),,,COMMUNITY_USER,,
Defect,NAS-141608,158798, samba: advertise only the WRITE_ACL/WRITE_OWNER that FS honors,26.0.0-BETA.3,,,,Done,30/Jun/26 11:57 AM,30/Jun/26 1:41 PM,High,Complete,26.0.0-BETA.2,SCALE-25.10.5 (Goldeye),,IX_EMPLOYEE,triage_skipped,
Bug,NAS-141272,158230,Warning for deprecated API keys are shown under Credentials/User instead of API Keys pane,26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/Jun/26 10:32 AM,29/Jun/26 4:55 AM,Low,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-141287,158253,TrueCloud Backup: KeyError 'error.message' in restic_check_progress swallows all restic error messages; jobs can hang indefinitely,26.0.0-BETA.3,27.0.0-BETA.1,27.0.0-RC.1,SCALE-25.10.5 (Goldeye),Done,07/Jun/26 4:28 AM,28/Jun/26 8:14 PM,Medium,Complete,SCALE-25.10.4 (Goldeye),,,COMMUNITY_USER,hf_want,
Bug,NAS-141440,158473,WS-DISCOVERY not working on 26.0.0-BETA2 ,26.0.0-BETA.3,,,,Done,17/Jun/26 4:30 PM,28/Jun/26 5:17 PM,Medium,Complete,26.0.0-BETA.1,,,COMMUNITY_USER,,
Bug,NAS-140907,157463,"After a corruption on one of my pools (not boot pool), Alerts for corrupted audit db is being raised.",26.0.0-BETA.3,27.0.0-BETA.1,,,Done,05/May/26 7:01 AM,26/Jun/26 9:22 AM,Low,Complete,SCALE-25.10.3 (Goldeye),,,IX_EMPLOYEE,triage_skipped,
